	s1	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s2	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s3	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s4	s40	s41	s42	s43	s44	s45	s46	s47	s48	s5	s6	s7	s8	s9
K01430	0.2192307692307692	0.14596491228070174	0.0	0.0	0.0	0.0	0.36	0.0	0.17	0.17	0.0	0.0	0.32470588235294123	0.0	0.0	0.0	0.2	0.0	0.0	0.31	0.0	0.0	0.33	0.17	0.15	0.0	0.2	0.0	0.0	0.15	0.0	0.18	0.0	0.13	0.18	0.0	0.0	0.0	0.14596491228070174	0.0	0.18	0.0	0.0	0.14596491228070174	0.18	0.0	0.0	0.0
K00765	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17	0.17	0.09	0.12703412073490813	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.17	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.13134020618556702	0.18	0.52	0.0	0.29	0.13	0.2	0.18	0.08	0.0	0.13	0.18	0.14	0.29	0.15
K02111	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17045092838196288	0.17045092838196288	0.09	0.1	0.23	0.0	0.15	0.5	0.22222222222222224	0.2	0.0	0.341	0.0	0.15	0.33	0.17045092838196288	0.15	0.15	0.30000000000000004	0.5	0.4	0.19999999999999998	0.14	0.18	0.16	0.13	0.18	0.52	0.25	0.29	0.13	0.2	0.18	0.08	0.25	0.13	0.18	0.14	0.29	0.15
K00549	0.19	0.15964912280701757	0.29	0.0	0.0	0.3182432432432432	0.54	0.3	0.17	0.17	0.09	0.1115485564304462	0.23	0.0	0.4107142857142857	0.5	0.4	0.2	0.0	0.3162	0.0	0.4107142857142857	0.3580851063829787	0.17	0.1525974025974026	0.4107142857142857	0.2	0.0	0.0	0.0	0.14	0.19685714285714284	0.43733333333333335	0.3752577319587629	0.19685714285714284	0.663448275862069	0.25	0.29	0.15964912280701757	0.2	0.19685714285714284	0.08	0.25	0.15964912280701757	0.19685714285714284	0.406	0.29	0.3182432432432432
K01923	0.2776923076923077	0.13	0.29	0.0	0.0	0.15	0.54	0.15	0.17	0.17	0.16999999999999998	0.129002624671916	0.23	0.0	0.15	0.5	0.33333333333333337	0.2	0.0	0.31	0.0	0.15	0.33	0.17	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.1306701030927835	0.18	0.52	0.25	0.29	0.13	0.2	0.18	0.08	0.25	0.13	0.18	0.14	0.29	0.15
K00826	0.5846153846153846	0.13	0.29	0.0	0.0	0.16013513513513514	0.36	0.15	0.17496021220159153	0.17496021220159153	0.0	0.1846456692913386	0.5141176470588236	0.0	0.15714285714285714	1.0	0.6222222222222222	0.2	0.0	0.31	0.0	0.15714285714285714	0.33	0.17496021220159153	0.15064935064935064	0.15714285714285714	0.30000000000000004	0.9500000000000001	1.6	0.15	0.14	0.19671428571428567	0.20266666666666666	0.13	0.19671428571428567	0.5259770114942529	0.25	0.29	0.13	0.2	0.19671428571428567	0.08888888888888889	0.25	0.13	0.19671428571428567	0.14	0.29	0.16013513513513514
K00818	0.33615384615384614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.17125984251968507	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.2	0.45	0.5	0.0	0.0	0.18	0.0	0.0	0.18	0.52	0.25	0.0	0.0	0.2	0.18	0.16	0.25	0.0	0.18	0.0	0.0	0.0
K01873	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17	0.17	0.09	0.1	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.17	0.15	0.15	0.2	0.45	0.4	0.19999999999999998	0.14	0.18557142857142855	0.16	0.1306701030927835	0.18557142857142855	0.52	0.25	0.29	0.13	0.2	0.18557142857142855	0.08	0.25	0.13	0.18557142857142855	0.14	0.29	0.15
K02037	0.3069230769230769	0.13	0.3132	0.0	0.0	0.2959459459459459	0.27	0.15	0.17	0.17	0.11	0.17454068241469817	0.23	0.0	0.3	0.0	0.2	0.2	0.0	0.31	0.0	0.3	0.33	0.17	0.15	0.3	0.30000000000000004	0.0	0.0	0.19999999999999998	0.14	0.2614285714285714	0.2773333333333334	0.132680412371134	0.2614285714285714	0.6514942528735632	0.25	0.3132	0.13	0.2	0.2614285714285714	0.08	0.25	0.13	0.2614285714285714	0.14	0.3132	0.2959459459459459
K02963	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17045092838196288	0.17045092838196288	0.09	0.1	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.17045092838196288	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.132680412371134	0.18	0.52	0.25	0.29	0.13	0.2	0.18	0.08444444444444445	0.25	0.13	0.18	0.14	0.29	0.15
