	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48
ALDOSE-1-EPIMERASE-RXN	0.40923076923076923	0.1	0.6108510638297873	0.13402061855670103	0.32385964912280707	0.20614285714285713	0.14	0.0	0.1804054054054054	0.32385964912280707	0.0	0.0	0.0	0.1804054054054054	0.54	0.15	0.17	0.17	0.0	0.31117647058823533	0.0	0.2107142857142857	0.0	0.22222222222222224	0.2	0.0	0.0	0.0	0.2107142857142857	0.17	0.0	0.2107142857142857	0.0	0.9	0.0	0.0	0.2794607087827427	0.20614285714285713	0.17066666666666666	0.20614285714285713	0.8128735632183909	0.4	0.0	0.32385964912280707	0.35000000000000003	0.20614285714285713	0.0	0.4
DIAMINOPIMDECARB-RXN	0.19	0.11010498687664041	0.41425531914893615	0.13804123711340208	0.13228070175438597	0.2814285714285714	0.18200000000000002	0.29	0.22094594594594594	0.13228070175438597	0.29	0.0	0.0	0.22094594594594594	0.45000000000000007	0.24	0.2777718832891247	0.2777718832891247	0.1	0.2570588235294118	0.0	0.15714285714285714	0.5	0.2	0.2	0.0	0.341	0.0	0.15714285714285714	0.2777718832891247	0.15064935064935064	0.15714285714285714	0.6000000000000001	0.7000000000000001	0.4	0.15	0.2790292758089369	0.2814285714285714	0.20266666666666666	0.2814285714285714	0.5977011494252873	0.25	0.29	0.13228070175438597	0.2	0.2814285714285714	0.14666666666666667	0.25
HISTPRATPHYD-RXN	0.19	0.1	0.33	0.13	0.13	0.18	0.14	0.29	0.15	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17	0.17	0.09	0.23	0.0	0.15	1.0	0.2	0.2	0.0	0.31	0.0	0.15	0.17	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.18	0.52	0.25	0.29	0.13	0.2	0.18	0.08	0.25
INOPHOSPHOR-RXN	0.19	0.0	0.0	0.13134020618556702	0.2212280701754386	0.0	0.14	0.0	0.15	0.2212280701754386	0.0	0.0	0.0	0.15	0.27	0.15	0.0	0.0	0.15	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.15	0.0	0.45	0.0	0.0	0.14	0.0	0.16	0.0	0.0	0.0	0.0	0.2212280701754386	0.0	0.0	0.0	0.0
RXN-11482	0.19	0.11141732283464567	0.33702127659574466	0.1929896907216495	0.24175438596491228	0.2304285714285714	0.14	0.2958	0.17635135135135135	0.24175438596491228	0.2958	0.0	0.0	0.17635135135135135	0.6300000000000001	0.36	0.18698496905393458	0.18698496905393458	0.18	0.48705882352941177	0.0	0.1714285714285714	1.0	0.5777777777777778	0.2	0.0	0.3596	0.0	0.1714285714285714	0.18698496905393458	0.15	0.1714285714285714	0.4	1.2	1.1	0.19999999999999998	0.15067796610169493	0.2304285714285714	0.18133333333333332	0.2304285714285714	0.0	0.3	0.2958	0.24175438596491228	0.35000000000000003	0.2304285714285714	0.16	0.3
CHORISMATE-SYNTHASE-RXN	0.19	0.17545931758530187	0.33	0.1306701030927835	0.13	0.18	0.14	0.3016	0.15	0.13	0.3016	0.0	0.0	0.15	0.27	0.15	0.17	0.17	0.09	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.17	0.0	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.18	0.52	0.25	0.3016	0.13	0.2	0.18	0.08	0.25
FRUCTOKINASE-RXN	0.19	0.1	0.0	0.29350515463917526	0.3785964912280702	0.18	0.29400000000000004	0.0	0.31013513513513513	0.3785964912280702	0.0	0.0	0.0	0.31013513513513513	0.27	0.44999999999999996	0.0	0.0	0.15999999999999998	0.0	0.0	0.26785714285714285	0.0	0.26666666666666666	0.0	0.0	0.0	0.0	0.26785714285714285	0.0	0.0	0.26785714285714285	0.2	0.5	0.0	0.0	0.2774114021571649	0.18	0.20266666666666666	0.18	0.0	0.25	0.0	0.3785964912280702	0.35000000000000003	0.18	0.08	0.25
AGMATINE-DEIMINASE-RXN	0.19	0.0	0.0	0.0	0.0	0.2804285714285714	0.14	0.0	0.15	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.2804285714285714	0.0	0.2804285714285714	0.0	0.0	0.0	0.0	0.0	0.2804285714285714	0.0	0.0
RXN-11319	0.19	0.0	0.0	0.13	0.13	0.0	0.14	0.0	0.15	0.13	0.0	0.0	0.0	0.15	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0
RXN-14517	0.19	0.1	0.33	0.1306701030927835	0.13	0.18	0.14	0.29	0.15	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.17	0.17	0.09	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.17	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.18	0.5379310344827587	0.25	0.29	0.13	0.2	0.18	0.08	0.25
